                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.39487,                0.39358,                0.87575,                0.98948,                      1,                  0.995,                0.96391,                0.42781,                0.30429,                0.81285,              0.0010628,              0.0010628,              0.0010628
                     73,                0.37969,                0.37377,                0.85385,                0.98968,                      1,                  0.995,                0.96392,                 0.3923,                0.27338,                0.80972,              0.0010496,              0.0010496,              0.0010496
                     74,                  0.398,                0.38176,                  0.879,                0.98992,                      1,                  0.995,                0.94525,                0.30825,                0.27968,                0.79762,              0.0010364,              0.0010364,              0.0010364
                     75,                0.40631,                0.39462,                0.89503,                0.98949,                      1,                  0.995,                0.92017,                0.32337,                0.29463,                0.79949,              0.0010232,              0.0010232,              0.0010232
                     76,                0.43662,                0.39257,                0.88467,                0.98981,                      1,                  0.995,                0.93689,                0.37599,                0.31136,                0.81784,                0.00101,                0.00101,                0.00101
                     77,                0.40352,                0.39355,                0.87443,                 0.9893,                      1,                  0.995,                 0.8891,                0.46916,                0.31908,                0.82728,              0.0009968,              0.0009968,              0.0009968
                     78,                0.41735,                0.41875,                0.91021,                0.98811,                      1,                  0.995,                0.88914,                0.51035,                0.34217,                0.82894,              0.0009836,              0.0009836,              0.0009836
                     79,                0.39668,                 0.3809,                0.86304,                0.98885,                      1,                  0.995,                0.92024,                 0.4327,                0.31585,                0.81671,              0.0009704,              0.0009704,              0.0009704
                     80,                 0.4267,                0.39418,                0.88673,                0.98951,                      1,                  0.995,                 0.9203,                 0.4049,                 0.3063,                0.81203,              0.0009572,              0.0009572,              0.0009572
                     81,                0.39067,                0.36092,                0.89275,                0.98948,                      1,                  0.995,                0.92025,                0.43511,                0.30631,                0.81446,               0.000944,               0.000944,               0.000944
                     82,                0.38062,                0.38844,                0.87181,                0.98836,                      1,                  0.995,                0.94524,                0.40675,                0.28796,                0.81129,              0.0009308,              0.0009308,              0.0009308
                     83,                0.40878,                0.37288,                0.87694,                 0.9875,                      1,                  0.995,                0.95767,                0.35334,                0.26751,                0.80186,              0.0009176,              0.0009176,              0.0009176
                     84,                0.44503,                0.39932,                0.89985,                0.98569,                      1,                  0.995,                0.94519,                0.35819,                0.30356,                0.80446,              0.0009044,              0.0009044,              0.0009044
                     85,                0.38795,                0.37655,                0.86475,                0.98174,                      1,                  0.995,                0.93686,                0.31794,                0.31495,                0.79889,              0.0008912,              0.0008912,              0.0008912
                     86,                0.41916,                0.38497,                0.88617,                0.97543,                      1,                  0.995,                0.97016,                0.32328,                 0.3315,                0.79857,               0.000878,               0.000878,               0.000878
                     87,                0.36667,                0.36459,                0.83267,                0.98519,                      1,                  0.995,                0.92017,                0.31111,                0.29221,                0.79631,              0.0008648,              0.0008648,              0.0008648
                     88,                0.38173,                0.35454,                0.87982,                0.98915,                      1,                  0.995,                0.97022,                0.28009,                0.25558,                 0.7941,              0.0008516,              0.0008516,              0.0008516
                     89,                0.35463,                0.35368,                0.84924,                0.98931,                      1,                  0.995,                  0.995,                0.24813,                0.24034,                0.79056,              0.0008384,              0.0008384,              0.0008384
